id,ms,date,puzzle,scramble,plus2,dnf
_q3E_KVN7,24575,2020-11-08T17:34:24.962Z,3x3x3,"D' R F R' D R D' B2 R B' D' B2 U D2 L2 B2 D' F2 U' F2 B2",,
rU2qdDysj,22155,2020-11-08T17:35:38.407Z,3x3x3,"U2 F2 L' B2 L' D2 L2 D2 B2 F2 R' B' D' B F L2 U2 R2 U L' D2",,
6pmFC8mrX,26897,2020-11-08T17:36:36.614Z,3x3x3,"L U' F' D2 B' U R D' R2 B' D2 L2 B2 L2 U' F2 R2 U' B2 R2 U'",,
z8vXlwnCr,27160,2020-11-08T17:37:29.533Z,3x3x3,"U2 R2 D2 B R2 F2 D2 U2 B' R2 U R D2 B2 D' U L F D' R'",,
DH7xUcol-,22525,2020-11-08T17:38:12.054Z,3x3x3,"D2 U2 B R2 B2 F' R2 B R2 F' L2 U' F R B2 U2 R D F2 L R",,
UoCzmj2AA,18420,2020-11-08T17:38:58.846Z,3x3x3,"F R2 B U2 F' R2 F2 L2 D2 B2 F' L' B2 F2 L' U2 B' U B F2",,
sy4lOuFDG,20591,2020-11-08T17:39:44.626Z,3x3x3,"F2 R2 U2 L2 D2 F2 R2 B F2 R2 D2 R' B' D2 F D F2 U' B2 F' L2",,
ONxp4umC9,22255,2020-11-08T17:40:39.216Z,3x3x3,"B2 D2 L2 U' L2 F2 D' L2 R2 D L2 R B2 F2 L' F' U' B L2 R2 U",,
WBoXhUqDE,22845,2020-11-08T17:42:22.235Z,3x3x3,"B2 U2 R' B2 D2 L U2 R' F2 L' D2 U R2 B2 U' B D2 U2 L R",,
IO7cp_HiU,24965,2020-11-08T17:43:18.686Z,3x3x3,"B2 D2 R2 F2 L2 U F2 L2 U2 R' D U2 B D' L' D2 U' L2",,
06SqidIVJ,30521,2020-11-08T17:44:14.562Z,3x3x3,"U2 R2 L' F' U2 B U' B R' F L2 F2 L2 F L2 U2 L2 B L2 F'",,
sdNyWWJ57,19157,2020-11-08T17:44:56.499Z,3x3x3,"R2 U F2 D' L2 F2 D R2 U F2 D' L B D B R' F2 U L2 R2 U2",,
JcmKGBwyA,23744,2020-11-08T17:45:38.945Z,3x3x3,"F2 U2 L2 B2 R U2 F2 D2 F2 L' U2 F' D2 U2 L2 U F D' L R' U'",,
vvL4_pTn3,19317,2020-11-08T17:46:16.673Z,3x3x3,"F L U' R' D2 L' B' D' B U2 F2 R' F2 R F2 D2 B2 R F2 D2",,
bD_GQ_4cc,21638,2020-11-08T17:47:00.659Z,3x3x3,"L2 B2 R2 U L2 F2 D F2 R2 D U' F' L' D2 B' U R2 B2 F2 U' B",,
77EKq0Wa9,18815,2020-11-09T10:27:32.565Z,3x3x3,"U2 R2 U2 F2 L2 U L2 R2 B2 R2 F2 L' U2 B L' U2 R' F R' U2 R2",,
4WIm9-PMh,23275,2020-11-09T12:19:09.114Z,3x3x3,"F2 L2 D' U' F2 R2 F2 U L2 D2 L2 B L' D2 L' D2 R2 F' L' D2 R'",,
tftVKvqSJ,23742,2020-11-09T12:20:14.251Z,3x3x3,"U' F B2 U2 L2 D L' U2 B U2 L U2 F2 L' B2 R2 B2 R B2 R2",,
Y7zWa8qZH,27865,2020-11-09T12:56:16.239Z,3x3x3,"F2 L2 B2 R2 U L2 U2 R2 D R2 U' L' U R' B2 F' L' D2 L' U B'",,
yMA6FEew-,20001,2020-11-09T12:57:00.216Z,3x3x3,"L2 U' L2 D R2 D L2 B2 D' B2 U2 B L B F D2 L' B R D L'",,
NcWBVqDY1,23815,2020-11-09T12:57:49.966Z,3x3x3,"B U R D2 F B R2 D' B2 R' D2 B' R2 F' L2 D2 F2 B' U2 L2",,
014381b81,20635,2020-11-09T12:58:35.360Z,3x3x3,"F2 D U2 L2 D' F2 U L2 R2 F2 L2 B D2 L' D L' B' U2 B2 U'",,
Ip1RnHS7Z,27725,2020-11-09T12:59:23.918Z,3x3x3,"B' D2 L2 B' L2 F R2 D2 R2 F U B2 D2 R U2 L' B D' F' D' L2",,
lG0JzX2iW,23364,2020-11-10T11:00:34.419Z,3x3x3,"B2 D2 B2 L2 U2 L' U2 F2 L F' D2 R U' L2 R U' F U L",,
CjOS2nTGb,22550,2020-11-10T11:01:25.330Z,3x3x3,"R2 D2 B' U2 B R2 U2 B' L2 D2 U2 R B F' R' D' L2 U R B' R2",,
w85TWM_cM,24268,2020-11-10T11:02:46.408Z,3x3x3,"B R2 D2 B' F' L2 R2 U2 B' L2 B2 L' D L R2 F2 D' B' F' D B2",,
36902CycG,27255,2020-11-10T11:03:39.424Z,3x3x3,"U2 R2 U2 R2 B2 D' B2 L2 B2 F2 U2 R' F' L2 B2 D F2 L F D2 U2",,
-qB8Jcbix,25711,2020-11-10T11:04:26.499Z,3x3x3,"L D2 L' U2 B2 F2 U2 L' F2 R2 F' R' D' U L2 U' R' F' U F",,
D5q0vVPjJ,24511,2020-11-10T11:05:33.978Z,3x3x3,"B2 D2 B2 U2 F2 R2 F2 U2 R2 D' U' B D B' R F' D' L2 F' R' U2",,
86hDTotDo,22963,2020-11-10T11:06:19.699Z,3x3x3,"F2 U' R2 U2 R' B' R2 D' R2 L F U2 F2 L2 D2 R2 F' L2 B U2 R2",,
